reward,std
-209.4925405328924,142.0468293652938
-111.38636467673562,101.50882526912838
-119.04245966131037,41.70649174933107
-101.08793293346058,61.345528835104695
-118.52248937433416,43.6990999237616
-152.61209938742897,67.14826808628662
-121.34483268044211,49.07001925461506
-148.31348765980113,64.68029554130692
-90.35026411576705,58.337197854243605
-129.2414190118963,51.13575810151807
-144.3570660677823,104.30813203307079
-144.83329010009766,98.16263934438241
-115.18451066450639,48.81409023753487
-118.39310524680398,43.914988012781315
-106.02868444269353,40.21356251046176
-121.80116202614524,69.68236580480927
-161.895788712935,80.17045645245429
-404.99899846857244,192.94885026942134
-428.4345002607866,232.96314501202187
-294.1269933527166,270.26694515921724
-432.5424638227983,276.3653918711599
-306.56279061057353,211.86622259193217
-291.18617109818894,219.3531494346885
-301.5585382634943,201.3576682257616
-447.5537012273615,201.63492934760149
-315.13445559414953,254.78374957697662
-381.7397100275213,205.27952486511563
-160.40288196910512,119.74111850376724
-368.9906213933771,218.3170652053886
-204.97761743718928,172.8594960150115
-169.17079370672053,101.62990065144236
-208.8836704600941,151.50679341047226
-177.00911504572088,149.02709620115172
-171.7768159346147,142.13041439842954
-138.18880809437144,64.57827881725329
-195.80004258589312,179.21280065137034
-202.1069668856534,111.52089936792729
-135.30357152765447,119.84407453485213
-188.40952439741656,148.90423152762799
-155.0991308038885,130.57508773154058
-117.11143146861683,60.9429238803185
-138.71987429532138,47.372855186527225
-129.95564339377663,47.65934483562252
-144.19542902166194,66.00394976381877
-129.4736064564098,51.49375584792295
-119.36313351717862,54.39127727220976
-125.95168373801492,70.7748199625922
-119.02284587513317,66.55234674839375
-139.8399554165927,51.097012743787886
-109.34600413929333,42.131009346701134
-291.9350454157049,207.43169638940566
-208.6265737360174,219.84805131591128
-203.41126181862572,199.31771149705963
-204.11111935702237,195.45114534132514
-247.00133722478694,162.80436842020436
-515.767988725142,208.31261169267273
-295.0498553189364,226.0096832080466
-189.17513968727806,180.8204850295026
-229.19659423828125,225.67072656474207
-124.03357488458806,43.19400951542109
-123.27778764204545,43.19533018300091
-122.17218849875711,43.10783522342831
-114.33538610284978,42.989097719643986
-152.8556144020774,117.6078333389985
-179.08424100008878,143.15689225601378
-170.52357482910156,203.3288536603083
-255.91059251265094,202.41948816622457
-211.19582158868963,203.47382258292015
-449.1354883367365,256.05532500377683
-297.44499761408025,290.00491575289186
-234.12323067405006,220.3072026776062
-180.31448364257812,115.83027309470192
-267.6713464910334,217.72900479459977
-425.1869694102894,279.2400781126834
-443.7238804210316,277.4651001420578
-210.34546453302556,169.61219799839276
-235.9191499189897,204.56943648525984
-264.0817038796165,236.9001494394214
-379.0920895663175,220.753850226001
-560.8460159301758,436.85543119118296
-324.0736514004794,184.50267717167898
-332.9639164317738,221.72494217533816
-358.11611730402166,228.65258870914053
-338.920371315696,206.26242763465646
-341.5141539140181,228.43365050899803
-443.48843799937856,210.96825884452664
-424.80323305996984,239.57229922661654
-299.25843464244497,282.44271117176413
-370.6230891834606,276.9702723417084
-449.0101623535156,258.9274297690141
-511.7620766379616,293.6445216345578
-482.8993668989702,253.58321242780946
-291.19656996293503,208.70233602992118
-360.66390852494675,250.24367420689572
-340.99629350142044,205.05478861909768
-216.90532823042437,145.28514301142187
-326.65511044588953,203.89327108823272
-354.6663443825462,247.74135229700667
-291.7698235945268,222.38492329359548
-273.45647915926844,229.53723220971182
